name,device_role,tenant,manufacturer,model_name,platform,serial,asset_tag,status,site,rack_group,rack_name,position,face,comments
esxi-01.dc3.cp.pindrop.io,Server,,Dell,R640,,JRX4XM2,,Active,Equinix District of Columbia,Cage 005325,0103,27,Front,
esxi-02.dc3.cp.pindrop.io,Server,,Dell,R640,,JRX5CM2,,Active,Equinix District of Columbia,Cage 005325,0103,26,Front,
esxijnkslv00,Server,,Super Micro,4x3.5 Inch Bays (1U),,,,Active,NAP Cage 1,,R1-02,25,Front,
F5-CS-N2048-3,Distribution Switch,,Dell,N2048,,33ZPX42,6771741410,Active,Biltmore Suite 500 Server Room,,CS,42,Rear,
F5-DevOps-N2448,Distribution Switch,,Dell,N2048,,F3ZPX42,32893129442,Active,Biltmore Suite 500 Server Room,,DevOps,,Rear,
F5-QA-N2048-4,Distribution Switch,,Dell,N2048,,D3ZPX42,28539564770,Active,Biltmore Suite 500 Server Room,,QA,40,Rear,
F5-TC1-N2048-1,Distribution Switch,,Dell,N2048,,6DGS0Z1,13874935789,Active,Biltmore Suite 500 Server Room,,TelCo-Rack1,25,Front,
F5-TC1-N2048-6,Distribution Switch,,Dell,N2048,,2HYBY,543 915 403 4,Active,Biltmore Suite 500 Server Room,,TelCo-Rack1,15,Front,
F7-R1-ETAP,Management Switch,,DualComm,ETAP,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,29,Rear,
F7-R1-N2048,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,42,Rear,
F7-R1-UPS-1,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,1,Front,
F7-R1-UPS-2,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,3,Front,
F7-R2-N2048,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,42,Rear,
F7-R2-UPS1,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,1,Front,
F7-R2-UPS-2,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,3,Front,
